nta_code,year_month,temp_max_mean,temp_min_mean,precip_total,wind_max_mean
BX1104,2021-11,11.056666666666667,3.06,40.9,18.73
BX1104,2021-12,8.77741935483871,1.9225806451612903,47.7,17.961290322580645
BX1104,2022-01,2.293548387096774,-6.129032258064516,114.8,21.56451612903226
BX1104,2022-02,6.485714285714286,-3.5357142857142856,94.1,22.974999999999998
BX1104,2022-03,10.938709677419356,0.8387096774193549,112.9,22.67096774193548
BX1104,2022-04,14.733333333333333,5.076666666666667,139.3,23.09333333333333
BX1104,2022-05,21.567741935483873,11.870967741935484,113.3,18.393548387096775
BX1104,2022-06,26.56,16.243333333333332,100.2,20.033333333333335
BX1104,2022-07,31.541935483870965,20.887096774193548,56.2,20.96451612903226
BX1104,2022-08,30.493548387096773,20.83225806451613,59.1,18.22258064516129
BX1104,2022-09,24.456666666666667,15.776666666666667,89.89999999999999,16.87666666666667
BX1104,2022-10,17.338709677419356,9.087096774193547,250.2,18.4741935483871
