nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-02,2025-02-01,1240.0,53,26.97477142966584
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-03,2025-03-01,1558.0,53,33.8924950704995
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-04,2025-04-01,1784.0,53,38.80886470203537
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-05,2025-05-01,1973.0,53,42.9203419602667
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-06,2025-06-01,1433.0,53,31.173264079605765
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-07,2025-07-01,1376.0,53,29.93329474775822
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-08,2025-08-01,1437.0,53,31.260279471314362
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-09,2025-09-01,1716.0,53,37.32960304298918
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-10,2025-10-01,1699.0,53,36.95978762822763
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-11,2025-11-01,50.0,53,1.0876923963574936
BK0203,Fort Greene,Brooklyn,2022-03,2022-03-01,1642.0,53,36.06415888541807
BK0203,Fort Greene,Brooklyn,2022-04,2022-04-01,1540.0,53,33.82387617755409
BK0203,Fort Greene,Brooklyn,2022-05,2022-05-01,2155.0,53,47.331463092616275
BK0203,Fort Greene,Brooklyn,2022-06,2022-06-01,1508.0,53,33.12104238685167
BK0203,Fort Greene,Brooklyn,2022-07,2022-07-01,1377.0,53,30.243816556163626
BK0203,Fort Greene,Brooklyn,2022-08,2022-08-01,1308.0,53,28.728331194961527
BK0203,Fort Greene,Brooklyn,2022-09,2022-09-01,1827.0,53,40.12741673791645
